"","word1","word2","word3","word4","freq"
"1","the","new","york","times",6
"2","i","dont","know","i",4
"3","i","feel","like","i",4
"4","i","felt","like","i",4
"5","“","is”","subject","change",3
"6","advertising","fees","advertising","linking",3
"7","advertising","linking","amazoncom","amazonca",3
"8","afghan","president","hamid","karzai",3
"9","amazon","eu","associates","programmes",3
"10","amazon","eu","this","content",3
"11","amazon","services","llc","amazon",3
"12","amazon","services","llc","andor",3
"13","amazonca","amazoncouk","amazonde","amazonfr",3
"14","amazoncom","amazonca","amazoncouk","amazonde",3
"15","amazoncouk","amazonde","amazonfr","amazonit",3
"16","amazonde","amazonfr","amazonit","amazones",3
"17","amazones","certain","content","appears",3
"18","amazonfr","amazonit","amazones","certain",3
"19","amazonit","amazones","certain","content",3
"20","andor","amazon","eu","this",3
"21","appears","website","comes","amazon",3
"22","as","can","see","i",3
"23","associates","programmes","designed","provide",3
"24","certain","content","appears","website",3
"25","comes","amazon","services","llc",3
"26","content","appears","website","comes",3
"27","content","provided","“","is”",3
"28","designed","provide","means","sites",3
"29","earn","advertising","fees","advertising",3
"30","eu","associates","programmes","designed",3
"31","eu","this","content","provided",3
"32","fees","advertising","linking","amazoncom",3
"33","i","think","im","going",3
"34","i","think","im","gonna",3
"35","i","think","lot","people",3
"36","i’m","glad","i","got",3
"37","is”","subject","change","removal",3
"38","linking","amazoncom","amazonca","amazoncouk",3
"39","llc","amazon","eu","associates",3
"40","llc","andor","amazon","eu",3
"41","martin","luther","king","jr",3
"42","means","sites","earn","advertising",3
"43","participant","amazon","services","llc",3
"44","programmes","designed","provide","means",3
"45","provide","means","sites","earn",3
"46","provided","“","is”","subject",3
"47","services","llc","amazon","eu",3
"48","services","llc","andor","amazon",3
"49","sites","earn","advertising","fees",3
"50","subject","change","removal","time",3
"51","this","content","provided","“",3
"52","website","comes","amazon","services",3
"53","a","memorial","service","will",2
"54","all","i","know","i",2
"55","as","far","i","can",2
"56","assistant","football","coach","jerry",2
"57","averaged","just","points","rebounds",2
"58","case","western","reserve","university",2
"59","center","chicago","public","library",2
"60","center","se","kellogg","creek",2
"61","change","wish","see","world",2
"62","chicago","daily","law","bulletin",2
"63","chicago","illinois","incorporated","item",2
"64","chicago","public","library","chicago",2
"65","child","sex","abuse","charges",2
"66","christie","spokesman","michael","drewniak",2
"67","couple","days","ago","i",2
"68","cultural","center","chicago","public",2
"69","day","last","week","i",2
"70","dont","know","i","can",2
"71","dream","last","night","i",2
"72","even","though","i","didnt",2
"73","event","will","take","place",2
"74","executive","vice","president","football",2
"75","fact","i","dont","think",2
"76","filed","us","district","court",2
"77","follow","please","i","love",2
"78","former","penn","state","assistant",2
"79","get","first","round","pick",2
"80","going","happen","i","dont",2
"81","had","dream","last","night",2
"82","happen","i","dont","know",2
"83","happy","mothers","day","moms",2
"84","happy","new","year","it",2
"85","happy","st","pattys","day",2
"86","hold","special","place","heart",2
"87","i","accidentally","threw","away",2
"88","i","can","get","back",2
"89","i","can","go","home",2
"90","i","can’t","wait","see",2
"91","i","cant","believe","i",2
"92","i","cant","get","enough",2
"93","i","didnt","think","i",2
"94","i","don’t","know","hell",2
"95","i","don’t","know","i",2
"96","i","dont","know","much",2
"97","i","dont","know","whether",2
"98","i","dont","think","i",2
"99","i","dont","think","will",2
"100","i","dont","want","put",2
"101","i","dont","want","say",2
"102","i","hope","great","weekend",2
"103","i","keep","coming","back",2
"104","i","know","i","can",2
"105","i","know","i","know",2
"106","i","know","i","will",2
"107","i","know","many","people",2
"108","i","never","thought","i",2
"109","i","really","wanted","get",2
"110","i","think","fair","say",2
"111","i","think","i","can",2
"112","i","think","i","going",2
"113","i","think","i","might",2
"114","i","think","i","will",2
"115","i","thought","i","might",2
"116","i","want","give","away",2
"117","i","wish","i","go",2
"118","illinois","incorporated","item","c",2
"119","im","following","u","follow",2
"120","im","wrong","i","think",2
"121","in","fact","i","dont",2
"122","incorporated","item","c","pp",2
"123","issueadvocacy","organizations","disclose","donors",2
"124","it","also","interesting","see",2
"125","it","feels","like","i",2
"126","it","just","doesnt","make",2
"127","jersey","gov","chris","christie",2
"128","john","smith’s","grand","national",2
"129","just","doesnt","make","sense",2
"130","kellogg","creek","drive","milwaukie",2
"131","know","i","can","make",2
"132","lake","oswego","school","district",2
"133","left","side","right","side",2
"134","let","know","i","can",2
"135","let","us","know","think",2
"136","library","chicago","illinois","incorporated",2
"137","life","man","ready","opportunity",2
"138","like","father","like","son",2
"139","man","ready","opportunity","comes",2
"140","many","things","im","thankful",2
"141","mark","zandi","chief","economist",2
"142","may","milwaukie","center","se",2
"143","medical","mart","convention","center",2
"144","milwaukie","center","se","kellogg",2
"145","minneapolis","money","manager","trevor",2
"146","money","manager","trevor","cook",2
"147","national","transportation","safety","board",2
"148","new","jersey","gov","chris",2
"149","new","york","times","reports",2
"150","news","world","hacked","phone",2
"151","next","week","i","will",2
"152","offensive","coordinator","kevin","gilbride",2
"153","one","run","four","hits",2
"154","one","year","left","contract",2
"155","penn","state","assistant","football",2
"156","possession","controlled","dangerous","substance",2
"157","presidential","candidate","mitt","romney",2
"158","prime","minister","benjamin","netanyahu",2
"159","public","library","chicago","illinois",2
"160","san","diego","state","university",2
"161","se","kellogg","creek","drive",2
"162","secret","success","life","man",2
"163","sen","raymond","lesniak","dunion",2
"164","six","years","ago","i",2
"165","state","assistant","football","coach",2
"166","state","sen","nina","turner",2
"167","success","life","man","ready",2
"168","the","cultural","center","chicago",2
"169","the","first","time","i",2
"170","the","lake","oswego","school",2
"171","the","rotary","club","annapolis",2
"172","the","secret","success","life",2
"173","things","i","never","thought",2
"174","us","district","court","judge",2
"175","vice","president","football","operations",2
"176","will","take","place","pm",2
"177","worth","million","first","year",2
"178","you","know","i","think",2
